agegroup_name,deaths_per_person,age_low,age_high
<1 year old,3.9,0,1
1-4 years old,0.2,1,4
5-9 years old,0.1,5,9
10-14 years old,0.1,10,14
15-19 years old,0.2,15,19
20-24 years old,0.4,20,24
25-29 years old,0.4,25,29
30-34 years old,0.6,30,34
35-39 years old,0.9,35,39
40-44 years old,1.4,40,44
45-49 years old,2,45,49
50-54 years old,3.1,50,54
55-59 years old,4.8,55,59
60-64 years old,7.8,60,64
65-69 years old,11.8,65,69
70-74 years old,19.6,70,74
75-79 years old,33.8,75,79
80+ years old,107.5,80,99
