exp_dep,age_dep,seasforc_width_wks,R0,peak_week,seasforce_peak,omega,par_id,const_delta,seas_conc_lim,npi_start,npi_stop,seas_start_wk,seas_stop_wk
1.875,0.1875,3,1,48,0.75,0.004,29,1.2405396024934034,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,3,1,48,0.75,0.004,30,1.4340111199616106,0.85,2020-03-26,2021-05-17,42,8
1.625,0.25,3,1,48,0.75,0.004,42,1.3829680971132456,0.85,2020-03-26,2021-05-17,42,8
1.75,0.25,3,1,48,0.75,0.004,43,1.608388328806521,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,3,1,48,0.75,0.004,44,1.864508527869845,0.85,2020-03-26,2021-05-17,42,8
2,0.25,3,1,48,0.75,0.004,45,2.155292710409722,0.85,2020-03-26,2021-05-17,42,8
1.375,0.3125,3,1,48,0.75,0.004,55,1.4567174165064716,0.85,2020-03-26,2021-05-17,42,8
1.5,0.3125,3,1,48,0.75,0.004,56,1.707540617406429,0.85,2020-03-26,2021-05-17,42,8
1.625,0.3125,3,1,48,0.75,0.004,57,1.9931956593344629,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,3,1,48,0.75,0.004,58,2.318081409248047,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,3,1,48,0.75,0.004,59,2.6872133292876272,0.85,2020-03-26,2021-05-17,42,8
1.125,0.375,3,1,48,0.75,0.004,68,1.4409314647684732,0.85,2020-03-26,2021-05-17,42,8
1.25,0.375,3,1,48,0.75,0.004,69,1.7061160706545968,0.85,2020-03-26,2021-05-17,42,8
1.375,0.375,3,1,48,0.75,0.004,70,2.0093685326971795,0.85,2020-03-26,2021-05-17,42,8
1.5,0.375,3,1,48,0.75,0.004,71,2.3553493258474707,0.85,2020-03-26,2021-05-17,42,8
1.625,0.375,3,1,48,0.75,0.004,72,2.749376503632598,0.85,2020-03-26,2021-05-17,42,8
