agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
1,1,239,383356,295827,0.7717
1,2,239,46060,58848,1.2776
1,3,239,983,1099,1.1182
2,1,239,181580,218090,1.2011
2,2,239,92360,107809,1.1673
2,3,239,4550,5149,1.1316
3,1,239,77509,96957,1.2509
3,2,239,101196,123296,1.2184
3,3,239,8070,9320,1.1549
4,1,239,34417,46821,1.3604
4,2,239,131387,149256,1.136
4,3,239,26996,32600,1.2076
5,1,239,12608,18195,1.4431
5,2,239,159181,207303,1.3023
5,3,239,65790,85741,1.3033
6,1,239,2432,3775,1.5523
6,2,239,94020,131041,1.3938
6,3,239,81942,110535,1.3489
7,1,239,457,765,1.6741
7,2,239,51048,73806,1.4458
7,3,239,86588,119087,1.3753
8,1,239,106,192,1.8188
8,2,239,53713,78288,1.4575
8,3,239,1013559,1419856,1.4009
9,1,239,2,4,2
9,2,239,5542,8014,1.446
9,3,239,963136,1365132,1.4174
10,1,239,0,0,NA
10,2,239,1038,1416,1.3645
10,3,239,612586,874013,1.4268
11,1,239,0,0,NA
11,2,239,640,848,1.3251
11,3,239,457971,654945,1.4301
1,1,464,385494,389507,1.0104
1,2,464,64016,97281,1.5196
1,3,464,2199,3317,1.5086
2,1,464,169234,267002,1.5777
2,2,464,110373,152503,1.3817
2,3,464,9181,13681,1.4902
3,1,464,69874,113257,1.6209
3,2,464,117649,168472,1.432
3,3,464,15694,23545,1.5003
4,1,464,30250,50954,1.6844
4,2,464,131424,183716,1.3979
4,3,464,47721,72162,1.5122
5,1,464,10440,18058,1.7297
5,2,464,153736,232885,1.5148
5,3,464,115509,184558,1.5978
6,1,464,1902,3394,1.7842
6,2,464,85764,135972,1.5854
6,3,464,140508,229051,1.6302
7,1,464,339,626,1.8436
7,2,464,43503,71477,1.643
7,3,464,146456,241514,1.6491
8,1,464,75,144,1.917
8,2,464,36553,61367,1.6789
8,3,464,1619547,2692105,1.6623000000000001
9,1,464,1,3,2
9,2,464,2922,5051,1.7282
9,3,464,1628909,2744047,1.6846
10,1,464,0,0,NA
10,2,464,305,512,1.6817
10,3,464,1044147,1766903,1.6922
11,1,464,0,0,NA
11,2,464,154,256,1.6599
11,3,464,783346,1327795,1.695
1,1,929,431926,213108,0.4934
1,2,929,72947,52545,0.7203
1,3,929,2871,2201,0.7666
2,1,929,160545,131814,0.821
2,2,929,124103,77931,0.628
2,3,929,11291,8455,0.7488
3,1,929,60462,50821,0.8405
3,2,929,119767,84428,0.7049
3,3,929,17508,13245,0.7565
4,1,929,21543,19250,0.8936
4,2,929,132878,91705,0.6901
4,3,929,49613,38167,0.7693
5,1,929,6188,5646,0.9124
5,2,929,135633,108813,0.8023
5,3,929,99812,85432,0.8559
6,1,929,863,813,0.9412
6,2,929,69870,62757,0.8982
6,3,929,109166,97592,0.894
7,1,929,106,103,0.9734
7,2,929,34389,33563,0.976
7,3,929,104657,95959,0.9169
8,1,929,14,16,1.1066
8,2,929,33281,33058,0.9933
8,3,929,1121574,1050022,0.9362
9,1,929,0,0,2
9,2,929,3371,3276,0.9718
9,3,929,999186,954887,0.9557
10,1,929,0,0,NA
10,2,929,875,722,0.8256
10,3,929,598405,577576,0.9652
11,1,929,0,0,NA
11,2,929,808,632,0.7818
11,3,929,421224,408168,0.969
1,1,2265,413975,323945,0.7825
1,2,2265,64127,77228,1.2043
1,3,2265,1832,2176,1.1878
2,1,2265,167724,213093,1.2705
2,2,2265,114910,123066,1.071
2,3,2265,7885,9252,1.1733
3,1,2265,65415,85314,1.3042
3,2,2265,119284,135738,1.1379
3,3,2265,13377,15815,1.1822
4,1,2265,24795,33930,1.3684
4,2,2265,135906,148674,1.0939
4,3,2265,41650,50361,1.2092
5,1,2265,7431,10412,1.4013
5,2,2265,149566,183320,1.2257
5,3,2265,95362,124475,1.3053
6,1,2265,1105,1599,1.4468
6,2,2265,80307,105644,1.3155
6,3,2265,113612,152880,1.3456
7,1,2265,150,225,1.5054
7,2,2265,39899,55434,1.3894
7,3,2265,116729,159786,1.3689
8,1,2265,23,38,1.6364
8,2,2265,34444,49037,1.4237
8,3,2265,1292771,1794454,1.3881
9,1,2265,0,1,2
9,2,2265,2869,4200,1.4638
9,3,2265,1248357,1761266,1.4109
10,1,2265,0,0,NA
10,2,2265,345,479,1.391
10,3,2265,796758,1131990,1.4207
11,1,2265,0,0,NA
11,2,2265,179,242,1.3521
11,3,2265,596689,849936,1.4244
1,1,2954,422792,347143,0.8211
1,2,2954,137875,116647,0.846
1,3,2954,20372,18906,0.928
2,1,2954,114506,158905,1.3877
2,2,2954,169162,175732,1.0388
2,3,2954,62418,55833,0.8945
3,1,2954,40314,57497,1.4262
3,2,2954,146177,164454,1.125
3,3,2954,92365,84468,0.9145
4,1,2954,12913,19163,1.4839
4,2,2954,118173,141412,1.1967
4,3,2954,183820,171683,0.934
5,1,2954,3501,5411,1.5455
5,2,2954,108141,131646,1.2174
5,3,2954,378029,359038,0.9498
6,1,2954,450,717,1.5958
6,2,2954,48159,58975,1.2246
6,3,2954,398581,381263,0.9566
7,1,2954,50,82,1.6434
7,2,2954,20489,25011,1.2207
7,3,2954,382067,367003,0.9606
8,1,2954,5,9,1.7124
8,2,2954,14097,17423,1.2359
8,3,2954,3743015,3619763,0.9671
9,1,2954,0,0,NA
9,2,2954,1077,1128,1.0468
9,3,2954,4292721,4201089,0.9787
10,1,2954,0,0,NA
10,2,2954,145,151,1.0454
10,3,2954,2633602,2591875,0.9842
11,1,2954,0,0,NA
11,2,2954,112,116,1.0321
11,3,2954,1878602,1853704,0.9867
1,1,4064,370341,277916,0.7504
1,2,4064,38861,49344,1.2697
1,3,4064,691,763,1.1043
2,1,4064,185776,219273,1.1803
2,2,4064,82423,96546,1.1713
2,3,4064,3309,3719,1.1241
3,1,4064,83849,104057,1.241
3,2,4064,93379,114148,1.2224
3,3,4064,6017,6918,1.1498
4,1,4064,39551,54218,1.3708
4,2,4064,128218,148587,1.1589
4,3,4064,20793,25133,1.2087
5,1,4064,16311,24122,1.4789
5,2,4064,164667,217697,1.322
5,3,4064,52751,68732,1.3029
6,1,4064,3523,5672,1.61
6,2,4064,102753,144280,1.4041
6,3,4064,67538,91255,1.3512
7,1,4064,739,1283,1.7373
7,2,4064,58878,85167,1.4465
7,3,4064,72702,100276,1.3793
8,1,4064,186,346,1.8607
8,2,4064,70019,101846,1.4546
8,3,4064,885829,1247828,1.4087
9,1,4064,4,8,2
9,2,4064,8589,12338,1.4364
9,3,4064,838421,1193445,1.4234
10,1,4064,0,0,NA
10,2,4064,2138,2912,1.3624
10,3,4064,531882,762122,1.4329
11,1,4064,0,0,NA
11,2,4064,1466,1958,1.3353
11,3,4064,397102,570314,1.4362
1,1,4289,414815,365854,0.882
1,2,4289,64172,76318,1.1893
1,3,4289,2211,2718,1.2291
2,1,4289,184095,249228,1.3538
2,2,4289,116154,121433,1.0454
2,3,4289,9633,11661,1.2106
3,1,4289,77081,106552,1.3823
3,2,4289,125080,142989,1.1432
3,3,4289,16770,20568,1.2264
4,1,4289,30849,44298,1.436
4,2,4289,141326,163653,1.158
4,3,4289,51105,62502,1.223
5,1,4289,10045,14767,1.4701
5,2,4289,159753,203410,1.2733
5,3,4289,122072,163258,1.3374
6,1,4289,1598,2428,1.5187
6,2,4289,86082,116337,1.3515
6,3,4289,147025,202920,1.3802
7,1,4289,233,369,1.5833
7,2,4289,42636,60440,1.4176
7,3,4289,152135,213898,1.406
8,1,4289,40,68,1.7072
8,2,4289,35494,51803,1.4595
8,3,4289,1672291,2376836,1.4213
9,1,4289,1,1,2
9,2,4289,2867,4347,1.5162
9,3,4289,1672966,2435181,1.4556
10,1,4289,0,0,NA
10,2,4289,306,443,1.4465
10,3,4289,1071428,1568842,1.4643
11,1,4289,0,0,NA
11,2,4289,155,219,1.415
11,3,4289,803541,1179242,1.4676
1,1,4318,452039,312310,0.6909
1,2,4318,109729,66827,0.609
1,3,4318,11403,11099,0.9734
2,1,4318,151814,171833,1.1319
2,2,4318,153586,122640,0.7985
2,3,4318,37074,33187,0.8951
3,1,4318,57897,65815,1.1368
3,2,4318,141681,124556,0.8791
3,3,4318,54247,50203,0.9254
4,1,4318,19849,23512,1.1845
4,2,4318,130515,129337,0.991
4,3,4318,120516,99610,0.8265
5,1,4318,5750,6916,1.2028
5,2,4318,126202,127270,1.0085
5,3,4318,238392,229539,0.9629
6,1,4318,779,956,1.228
