Adenovirus,Coronavirus,Influenza A,Influenza B,Parainfluenza,RSV,Rhinovirus,Year,startweek,Age
35,4,3,1,95,217,23,2014,23,Under 1
50,0,1,0,52,110,5,2014,23,1-4 Y
12,0,1,0,11,50,3,2014,23,5-14 Y
21,2,15,5,42,89,4,2014,23,15-44 Y
12,1,9,4,56,76,7,2014,23,45-64 Y
10,2,15,2,33,54,2,2014,23,65 Y+
47,2,0,0,60,172,13,2014,27,Under 1
66,1,2,1,30,110,4,2014,27,1-4 Y
25,0,0,0,8,60,0,2014,27,5-14 Y
24,3,14,2,30,87,0,2014,27,15-44 Y
24,1,9,3,43,69,1,2014,27,45-64 Y
1,1,3,1,30,58,0,2014,27,65 Y+
31,0,0,0,25,124,24,2014,31,Under 1
55,0,3,1,19,76,6,2014,31,1-4 Y
14,0,3,0,8,35,0,2014,31,5-14 Y
13,1,10,1,13,66,2,2014,31,15-44 Y
8,2,6,5,30,52,1,2014,31,45-64 Y
9,0,15,0,26,39,1,2014,31,65 Y+
39,2,1,0,44,204,301,2014,40,Under 1
63,0,2,5,46,58,191,2014,40,1-4 Y
10,0,2,1,16,7,67,2014,40,5-14 Y
37,1,12,5,26,4,206,2014,40,15-44 Y
21,0,15,2,15,9,118,2014,40,45-64 Y
14,4,13,1,12,9,119,2014,40,65 Y+
32,6,3,0,67,774,263,2014,45,Under 1
44,2,3,7,51,234,134,2014,45,1-4 Y
19,4,10,0,21,13,77,2014,45,5-14 Y
22,3,12,2,29,13,70,2014,45,15-44 Y
20,0,4,2,19,19,45,2014,45,45-64 Y
4,0,12,0,18,19,54,2014,45,65 Y+
80,53,107,3,134,2557,542,2014,49,Under 1
106,33,110,6,88,522,237,2014,49,1-4 Y
61,9,473,11,26,125,145,2014,49,5-14 Y
43,5,356,19,49,163,136,2014,49,15-44 Y
36,6,180,5,36,76,98,2014,49,45-64 Y
22,11,714,8,46,179,117,2014,49,65 Y+
92,64,142,3,63,1036,308,2015,2,Under 1
93,39,134,1,57,182,136,2015,2,1-4 Y
25,10,122,8,14,37,50,2015,2,5-14 Y
85,28,611,21,20,94,103,2015,2,15-44 Y
46,23,578,27,48,151,103,2015,2,45-64 Y
21,41,1304,29,92,288,141,2015,2,65 Y+
68,50,66,4,83,297,320,2015,6,Under 1
