year_week,rate_under5yrs,week_number
2018-40,3.83,40
2018-41,7.94,41
2018-42,9.93,42
2018-43,25.34,43
2018-44,38.02,44
2018-45,30.69,45
2018-46,45.96,46
2018-47,57.54,47
2018-48,67.37,48
2018-49,40.99,49
2018-50,29.4,50
2018-51,27.94,51
2018-52,20.51,52
2019-01,25.71,1
2019-02,11.43,2
2019-03,12.1,3
2019-04,6.55,4
2019-05,3.97,5
2019-06,2.98,6
2019-07,4.02,7
2019-08,4.29,8
2019-09,1.67,9
2019-10,0,10
2019-11,1.54,11
2019-12,2.24,12
2019-13,1.53,13
2019-14,1.47,14
2019-15,1.53,15
2019-17,3.08,17
2019-18,3.62,18
2019-19,4.52,19
2019-20,2.34,20
2019-40,7.48,40
2019-41,5.89,41
2019-42,12.33,42
2019-43,15.49,43
2019-44,15.47,44
2019-45,19.8,45
2019-46,25.97,46
2019-47,43.37,47
2019-48,45.24,48
2019-49,49.53,49
2019-50,46.17,50
2019-51,56.73,51
2019-52,37.96,52
2020-01,33.86,1
2020-02,22.22,2
2020-03,14.72,3
2020-04,9.51,4
2020-05,8.68,5
2020-06,6.81,6
2020-07,4.11,7
2020-08,2.14,8
2020-09,3.94,9
2020-10,1.32,10
2020-11,0.86,11
2020-12,1.7,12
2020-13,2.95,13
2020-14,0,14
2020-15,0,15
2020-16,0,16
2020-17,0,17
2020-18,0,18
2020-19,0,19
2020-20,0,20
2020-40,0,40
2020-41,0,41
2020-42,0,42
2020-43,0,43
2020-44,0,44
2020-45,0,45
2020-46,0,46
2020-47,0.32,47
2020-48,0.13,48
2020-49,0,49
2020-50,0,50
2020-51,0.41,51
2020-52,0.15,52
2021-01,0,1
2021-02,0,2
2021-03,0,3
2021-04,0,4
2021-05,0,5
2021-06,0,6
2021-07,0,7
2021-08,0.15,8
2021-09,0,9
2021-10,0,10
2021-11,0,11
2021-12,0.3,12
2021-13,0.14,13
2021-14,0,14
2021-15,0.28,15
2021-16,0.14,16
2021-17,0.28,17
2021-18,0.17,18
2021-19,0.27,19
2021-20,1.04,20
2021-21,3.08,21
2021-22,3.13,22
2021-23,3.84,23
2021-24,7.36,24
2021-25,8.93,25
2021-26,11.88,26
2021-27,20.25,27
2021-28,19.72,28
2021-29,28.04,29
2021-30,28.72,30
2021-31,31.82,31
2021-32,31.31,32
2021-33,17.13,33
2021-34,24.4,34
2021-35,25.99,35
2021-36,22.8,36
2021-37,21.43,37
2021-38,19.78,38
2021-39,16.36,39
2021-40,18.21,40
2021-41,18.56,41
2021-42,17.12,42
2021-43,15.44,43
2021-44,13.98,44
2021-45,10.14,45
2021-46,9.61,46
2021-47,11.82,47
2021-48,5.74,48
2021-49,10.56,49
2021-50,6.29,50
2021-51,5.08,51
2021-52,6.64,52
2022-01,3.85,1
2022-02,2.13,2
2022-03,2.24,3
2022-04,2.6,4
2022-05,2.74,5
2022-06,3.93,6
2022-07,2.97,7
2022-08,1.21,8
2022-09,1.59,9
2022-10,3.39,10
2022-11,3.91,11
