week_commencing,week_number,positivity_0_5y,num_positives_0_5y,num_tests_0_5y,date
01/10/2012,40,7.17,20,279,2012-10-01
08/10/2012,41,13.28,36,271,2012-10-08
15/10/2012,42,17.55,43,245,2012-10-15
22/10/2012,43,25,81,324,2012-10-22
29/10/2012,44,38.86,150,386,2012-10-29
05/11/2012,45,43.07,199,462,2012-11-05
12/11/2012,46,43.38,203,468,2012-11-12
19/11/2012,47,49.29,277,562,2012-11-19
26/11/2012,48,48.56,320,659,2012-11-26
03/12/2012,49,51.27,323,630,2012-12-03
10/12/2012,50,45.32,247,545,2012-12-10
17/12/2012,51,43,209,486,2012-12-17
24/12/2012,52,35.97,182,506,2012-12-24
31/12/2012,1,30.98,145,468,2012-12-31
07/01/2013,2,25,86,344,2013-01-07
14/01/2013,3,20.38,65,319,2013-01-14
21/01/2013,4,12.43,44,354,2013-01-21
28/01/2013,5,9.69,37,382,2013-01-28
04/02/2013,6,10.08,37,367,2013-02-04
11/02/2013,7,10.08,37,367,2013-02-11
18/02/2013,8,8.67,32,369,2013-02-18
25/02/2013,9,6.93,23,332,2013-02-25
04/03/2013,10,4.18,14,335,2013-03-04
11/03/2013,11,4.18,15,359,2013-03-11
18/03/2013,12,3.88,13,335,2013-03-18
25/03/2013,13,4.38,14,320,2013-03-25
01/04/2013,14,3.42,11,322,2013-04-01
08/04/2013,15,1.85,5,271,2013-04-08
15/04/2013,16,2.82,7,248,2013-04-15
22/04/2013,17,2.75,7,255,2013-04-22
29/04/2013,18,4.05,10,247,2013-04-29
06/05/2013,19,1.98,5,252,2013-05-06
13/05/2013,20,2.57,7,272,2013-05-13
20/05/2013,21,2.21,5,226,2013-05-20
27/05/2013,22,2.31,5,216,2013-05-27
03/06/2013,23,0.48,1,208,2013-06-03
10/06/2013,24,1.83,4,218,2013-06-10
17/06/2013,25,2.35,5,213,2013-06-17
24/06/2013,26,0.5,1,200,2013-06-24
01/07/2013,27,0.97,2,206,2013-07-01
08/07/2013,28,2.43,5,206,2013-07-08
15/07/2013,29,1.9,4,210,2013-07-15
22/07/2013,30,2.06,4,194,2013-07-22
29/07/2013,31,1.03,2,194,2013-07-29
05/08/2013,32,2.15,4,186,2013-08-05
12/08/2013,33,0.67,1,150,2013-08-12
19/08/2013,34,3.68,6,163,2013-08-19
26/08/2013,35,0.77,1,130,2013-08-26
02/09/2013,36,0.72,1,138,2013-09-02
09/09/2013,37,1.21,2,165,2013-09-09
16/09/2013,38,0.77,2,261,2013-09-16
23/09/2013,39,2.39,6,251,2013-09-23
30/09/2013,40,3.2,9,281,2013-09-30
07/10/2013,41,7.36,19,258,2013-10-07
14/10/2013,42,11.9,30,252,2013-10-14
21/10/2013,43,14.29,47,329,2013-10-21
28/10/2013,44,23.28,78,335,2013-10-28
04/11/2013,45,29.1,117,402,2013-11-04
11/11/2013,46,36.47,155,425,2013-11-11
18/11/2013,47,45.16,238,527,2013-11-18
25/11/2013,48,50.88,319,627,2013-11-25
02/12/2013,49,54.27,337,621,2013-12-02
09/12/2013,50,54.4,352,647,2013-12-09
16/12/2013,51,45.67,274,600,2013-12-16
23/12/2013,52,51.49,277,538,2013-12-23
30/12/2013,1,43.05,223,518,2013-12-30
06/01/2014,2,34.25,137,400,2014-01-06
13/01/2014,3,24.36,67,275,2014-01-13
20/01/2014,4,20,60,300,2014-01-20
27/01/2014,5,14.24,42,295,2014-01-27
03/02/2014,6,8.42,25,297,2014-02-03
10/02/2014,7,10.41,28,269,2014-02-10
17/02/2014,8,7.53,25,332,2014-02-17
24/02/2014,9,4.65,14,301,2014-02-24
03/03/2014,10,4.74,11,232,2014-03-03
10/03/2014,11,2.66,7,263,2014-03-10
17/03/2014,12,4.51,13,288,2014-03-17
24/03/2014,13,3.33,10,300,2014-03-24
31/03/2014,14,2.48,7,282,2014-03-31
07/04/2014,15,2.4,7,292,2014-04-07
14/04/2014,16,3.46,8,231,2014-04-14
21/04/2014,17,0.87,2,231,2014-04-21
28/04/2014,18,0.95,2,210,2014-04-28
05/05/2014,19,1.75,4,228,2014-05-05
12/05/2014,20,0.858369098712446,2,233,2014-05-12
19/05/2014,21,3.2520325203252,8,246,2014-05-19
