exp_dep,age_dep,seasforc_width_wks,R0,peak_week,seasforce_peak,omega,par_id,const_delta,seas_conc_lim,npi_start,npi_stop,seas_start_wk,seas_stop_wk
0.25,0.125,3,1,48,0.75,0.004,1,0.07727649975090496,0.85,2020-03-26,2021-05-17,42,8
0.375,0.125,3,1,48,0.75,0.004,2,0.0967160250978661,0.85,2020-03-26,2021-05-17,42,8
0.5,0.125,3,1,48,0.75,0.004,3,0.11987605207083059,0.85,2020-03-26,2021-05-17,42,8
0.625,0.125,3,1,48,0.75,0.004,4,0.14721903270404504,0.85,2020-03-26,2021-05-17,42,8
0.75,0.125,3,1,48,0.75,0.004,5,0.17924475824573177,0.85,2020-03-26,2021-05-17,42,8
0.875,0.125,3,1,48,0.75,0.004,6,0.21650076201420052,0.85,2020-03-26,2021-05-17,42,8
1,0.125,3,1,48,0.75,0.004,7,0.25959481608157975,0.85,2020-03-26,2021-05-17,42,8
1.125,0.125,3,1,48,0.75,0.004,8,0.30920898909353844,0.85,2020-03-26,2021-05-17,42,8
1.25,0.125,3,1,48,0.75,0.004,9,0.3661148627690728,0.85,2020-03-26,2021-05-17,42,8
1.375,0.125,3,1,48,0.75,0.004,10,0.43118970464809275,0.85,2020-03-26,2021-05-17,42,8
1.5,0.125,3,1,48,0.75,0.004,11,0.5054336044528426,0.85,2020-03-26,2021-05-17,42,8
1.625,0.125,3,1,48,0.75,0.004,12,0.5899877614667554,0.85,2020-03-26,2021-05-17,42,8
1.75,0.125,3,1,48,0.75,0.004,13,0.686154244383924,0.85,2020-03-26,2021-05-17,42,8
1.875,0.125,3,1,48,0.75,0.004,14,0.7954176346437618,0.85,2020-03-26,2021-05-17,42,8
2,0.125,3,1,48,0.75,0.004,15,0.9194690204166878,0.85,2020-03-26,2021-05-17,42,8
0.25,0.1875,3,1,48,0.75,0.004,16,0.12052103713542058,0.85,2020-03-26,2021-05-17,42,8
0.375,0.1875,3,1,48,0.75,0.004,17,0.1508390738450038,0.85,2020-03-26,2021-05-17,42,8
0.5,0.1875,3,1,48,0.75,0.004,18,0.18695963416882053,0.85,2020-03-26,2021-05-17,42,8
0.625,0.1875,3,1,48,0.75,0.004,19,0.22960396193872798,0.85,2020-03-26,2021-05-17,42,8
0.75,0.1875,3,1,48,0.75,0.004,20,0.2795515355185369,0.85,2020-03-26,2021-05-17,42,8
0.875,0.1875,3,1,48,0.75,0.004,21,0.3376562921802724,0.85,2020-03-26,2021-05-17,42,8
1,0.1875,3,1,48,0.75,0.004,22,0.4048661180304608,0.85,2020-03-26,2021-05-17,42,8
1.125,0.1875,3,1,48,0.75,0.004,23,0.48224477269639543,0.85,2020-03-26,2021-05-17,42,8
1.25,0.1875,3,1,48,0.75,0.004,24,0.5709956210989497,0.85,2020-03-26,2021-05-17,42,8
1.375,0.1875,3,1,48,0.75,0.004,25,0.6724868565969853,0.85,2020-03-26,2021-05-17,42,8
1.5,0.1875,3,1,48,0.75,0.004,26,0.7882782269914754,0.85,2020-03-26,2021-05-17,42,8
1.625,0.1875,3,1,48,0.75,0.004,27,0.9201495556654743,0.85,2020-03-26,2021-05-17,42,8
1.75,0.1875,3,1,48,0.75,0.004,28,1.070131559200866,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,3,1,48,0.75,0.004,29,1.2405396024934032,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,3,1,48,0.75,0.004,30,1.4340111199616077,0.85,2020-03-26,2021-05-17,42,8
0.25,0.25,3,1,48,0.75,0.004,31,0.18114093340918164,0.85,2020-03-26,2021-05-17,42,8
0.375,0.25,3,1,48,0.75,0.004,32,0.2267083928273817,0.85,2020-03-26,2021-05-17,42,8
0.5,0.25,3,1,48,0.75,0.004,33,0.2809969400207409,0.85,2020-03-26,2021-05-17,42,8
0.625,0.25,3,1,48,0.75,0.004,34,0.34509059139023934,0.85,2020-03-26,2021-05-17,42,8
0.75,0.25,3,1,48,0.75,0.004,35,0.4201608887824222,0.85,2020-03-26,2021-05-17,42,8
0.875,0.25,3,1,48,0.75,0.004,36,0.5074912844327168,0.85,2020-03-26,2021-05-17,42,8
1,0.25,3,1,48,0.75,0.004,37,0.6085064339712334,0.85,2020-03-26,2021-05-17,42,8
1.125,0.25,3,1,48,0.75,0.004,38,0.7248051488286643,0.85,2020-03-26,2021-05-17,42,8
1.25,0.25,3,1,48,0.75,0.004,39,0.8581960646604924,0.85,2020-03-26,2021-05-17,42,8
1.375,0.25,3,1,48,0.75,0.004,40,1.0107355512756646,0.85,2020-03-26,2021-05-17,42,8
