par_id,exp_dep,age_dep,seasforc_width_wks,R0,seasforce_peak,omega,const_delta
29,1.875,0.1875,3,1,0.75,0.004,1.2405396024934034
30,2,0.1875,3,1,0.75,0.004,1.4340111199616106
42,1.625,0.25,3,1,0.75,0.004,1.3829680971132456
43,1.75,0.25,3,1,0.75,0.004,1.608388328806521
44,1.875,0.25,3,1,0.75,0.004,1.864508527869845
45,2,0.25,3,1,0.75,0.004,2.155292710409722
55,1.375,0.3125,3,1,0.75,0.004,1.4567174165064716
56,1.5,0.3125,3,1,0.75,0.004,1.707540617406429
57,1.625,0.3125,3,1,0.75,0.004,1.9931956593344629
58,1.75,0.3125,3,1,0.75,0.004,2.318081409248047
59,1.875,0.3125,3,1,0.75,0.004,2.6872133292876272
68,1.125,0.375,3,1,0.75,0.004,1.4409314647684732
69,1.25,0.375,3,1,0.75,0.004,1.7061160706545968
70,1.375,0.375,3,1,0.75,0.004,2.0093685326971795
71,1.5,0.375,3,1,0.75,0.004,2.3553493258474707
72,1.625,0.375,3,1,0.75,0.004,2.749376503632598
81,0.875,0.4375,3,1,0.75,0.004,1.3341947516555603
82,1,0.4375,3,1,0.75,0.004,1.599763612611752
83,1.125,0.4375,3,1,0.75,0.004,1.9055129717569406
84,1.25,0.4375,3,1,0.75,0.004,2.25619773281701
85,1.375,0.4375,3,1,0.75,0.004,2.657224092687781
86,1.5,0.4375,3,1,0.75,0.004,3.1147551449592887
87,1.625,0.4375,3,1,0.75,0.004,3.6358235766316978
94,0.625,0.5,3,1,0.75,0.004,1.155437252483474
95,0.75,0.5,3,1,0.75,0.004,1.4067886956291793
96,0.875,0.5,3,1,0.75,0.004,1.6991895750677124
97,1,0.5,3,1,0.75,0.004,2.0374099431507258
98,1.125,0.5,3,1,0.75,0.004,2.426802963171583
99,1.25,0.5,3,1,0.75,0.004,2.8734243348933455
100,1.375,0.5,3,1,0.75,0.004,3.3841592251139994
101,1.5,0.5,3,1,0.75,0.004,3.9668567610807726
107,0.375,0.5625,3,1,0.75,0.004,0.9364663799641786
108,0.5,0.5625,3,1,0.75,0.004,1.1607165659834906
109,0.625,0.5625,3,1,0.75,0.004,1.425468783261931
110,0.75,0.5625,3,1,0.75,0.004,1.7355623301524445
111,0.875,0.5625,3,1,0.75,0.004,2.0962987742493366
112,1,0.5625,3,1,0.75,0.004,2.5135629532685164
113,1.125,0.5625,3,1,0.75,0.004,2.993959091844424
114,1.25,0.5625,3,1,0.75,0.004,3.544958137407999
115,1.375,0.5625,3,1,0.75,0.004,4.175054355067088
121,0.25,0.625,3,1,0.75,0.004,0.8994467527215311
122,0.375,0.625,3,1,0.75,0.004,1.125709821107559
123,0.5,0.625,3,1,0.75,0.004,1.395277039096517
124,0.625,0.625,3,1,0.75,0.004,1.7135310389483245
125,0.75,0.625,3,1,0.75,0.004,2.0862890563905374
126,0.875,0.625,3,1,0.75,0.004,2.51992401290314
127,1,0.625,3,1,0.75,0.004,3.021509968755865
128,1.125,0.625,3,1,0.75,0.004,3.5989857466238666
136,0.25,0.6875,3,1,0.75,0.004,1.0589387224276268
137,0.375,0.6875,3,1,0.75,0.004,1.3253232792057597
138,0.5,0.6875,3,1,0.75,0.004,1.6426907771280925
139,0.625,0.6875,3,1,0.75,0.004,2.017378309203593
140,0.75,0.6875,3,1,0.75,0.004,2.4562346367966965
141,0.875,0.6875,3,1,0.75,0.004,2.9667627425016794
142,1,0.6875,3,1,0.75,0.004,3.5572910752475373
143,1.125,0.6875,3,1,0.75,0.004,4.237166188030077
151,0.25,0.75,3,1,0.75,0.004,1.2262574661069745
152,0.375,0.75,3,1,0.75,0.004,1.5347323992512816
153,0.5,0.75,3,1,0.75,0.004,1.9022458876000343
154,0.625,0.75,3,1,0.75,0.004,2.336136323310476
155,0.75,0.75,3,1,0.75,0.004,2.8443346136002243
156,0.875,0.75,3,1,0.75,0.004,3.435529257840815
166,0.25,0.8125,3,1,0.75,0.004,1.401499498825958
167,0.375,0.8125,3,1,0.75,0.004,1.7540579754521108
168,0.5,0.8125,3,1,0.75,0.004,2.174092090610455
169,0.625,0.8125,3,1,0.75,0.004,2.6699889515886803
170,0.75,0.8125,3,1,0.75,0.004,3.25081285589195
171,0.875,0.8125,3,1,0.75,0.004,3.926493959177883
181,0.25,0.875,3,1,0.75,0.004,1.5851528161394681
182,0.375,0.875,3,1,0.75,0.004,1.9839107625718013
183,0.5,0.875,3,1,0.75,0.004,2.458986394832574
184,0.625,0.875,3,1,0.75,0.004,3.01986587167352
196,0.25,0.9375,3,1,0.75,0.004,1.7779603734890876
197,0.375,0.9375,3,1,0.75,0.004,2.2252206124717486
