exp_dep,age_dep,seasforc_width_wks,R0,peak_week,seasforce_peak,omega,par_id,const_delta,seas_conc_lim,npi_start,npi_stop,seas_start_wk,seas_stop_wk
1.875,0.1875,5,1.1,48,0.75,0.004,929,1.364593562742744,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.3,48,0.75,0.004,2280,1.8642144559500937,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,5,1.4,48,0.75,0.004,2954,1.7367554434907648,0.85,2020-03-26,2021-05-17,42,8
2,0.25,5,1.4,48,0.75,0.004,2970,3.0174097945736107,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,3,1,48,1,0.004,4079,1.2405396024934034,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,5,1,48,1,0.004,4304,1.2405396024934034,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,5,1,48,1,0.004,4333,2.318081409248047,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,7,1,48,1,0.004,4529,1.2405396024934034,0.85,2020-03-26,2021-05-17,42,8
1.75,0.25,7,1,48,1,0.004,4543,1.608388328806521,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,3,1.1,48,1,0.004,4754,1.364593562742744,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,5,1.1,48,1,0.004,4979,1.364593562742744,0.85,2020-03-26,2021-05-17,42,8
1.75,0.25,5,1.1,48,1,0.004,4993,1.7692271616871733,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,5,1.1,48,1,0.004,4994,2.05095938065683,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,7,1.1,48,1,0.004,5204,1.364593562742744,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,7,1.1,48,1,0.004,5219,2.05095938065683,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,7,1.1,48,1,0.004,5234,2.9559346622163902,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.2,48,1,0.004,5655,1.7208133439539326,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,5,1.2,48,1,0.004,5669,2.2374102334438137,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,5,1.2,48,1,0.004,5684,3.2246559951451523,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,3,1.3,48,1,0.004,6105,1.8642144559500937,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.3,48,1,0.004,6330,1.8642144559500937,0.85,2020-03-26,2021-05-17,42,8
2,0.25,5,1.3,48,1,0.004,6345,2.8018805235326387,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,5,1.3,48,1,0.004,6359,3.4933773280739153,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,7,1.3,48,1,0.004,6555,1.8642144559500937,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.4,48,1,0.004,7005,2.0076155679462544,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,5,1.4,48,1,0.004,7019,2.610311939017783,0.85,2020-03-26,2021-05-17,42,8
2,0.25,5,1.4,48,1,0.004,7020,3.0174097945736107,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,7,1.4,48,1,0.004,7230,2.0076155679462544,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.5,48,1,0.004,7680,2.151016679942416,0.85,2020-03-26,2021-05-17,42,8
2,0.25,5,1.5,48,1,0.004,7695,3.232939065614583,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,3,1,48,1.25,0.004,8129,1.2405396024934034,0.85,2020-03-26,2021-05-17,42,8
1.75,0.25,3,1,48,1.25,0.004,8143,1.608388328806521,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,3,1,48,1.25,0.004,8158,2.318081409248047,0.85,2020-03-26,2021-05-17,42,8
1.625,0.375,3,1,48,1.25,0.004,8172,2.749376503632598,0.85,2020-03-26,2021-05-17,42,8
1.5,0.4375,3,1,48,1.25,0.004,8186,3.1147551449592887,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,5,1,48,1.25,0.004,8354,1.2405396024934034,0.85,2020-03-26,2021-05-17,42,8
1.75,0.25,5,1,48,1.25,0.004,8368,1.608388328806521,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,5,1,48,1.25,0.004,8369,1.864508527869845,0.85,2020-03-26,2021-05-17,42,8
1.625,0.3125,5,1,48,1.25,0.004,8382,1.9931956593344629,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,5,1,48,1.25,0.004,8383,2.318081409248047,0.85,2020-03-26,2021-05-17,42,8
1.625,0.4375,5,1,48,1.25,0.004,8412,3.6358235766316978,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,7,1,48,1.25,0.004,8579,1.2405396024934034,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,7,1,48,1.25,0.004,8594,1.864508527869845,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,7,1,48,1.25,0.004,8609,2.6872133292876272,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,3,1.1,48,1.25,0.004,8804,1.364593562742744,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,3,1.1,48,1.25,0.004,8819,2.05095938065683,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,3,1.1,48,1.25,0.004,8833,2.549889550172852,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,5,1.1,48,1.25,0.004,9029,1.364593562742744,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.1,48,1.25,0.004,9030,1.5774122319577717,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,5,1.1,48,1.25,0.004,9044,2.05095938065683,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,5,1.1,48,1.25,0.004,9058,2.549889550172852,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,5,1.1,48,1.25,0.004,9059,2.9559346622163902,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,7,1.1,48,1.25,0.004,9255,1.5774122319577717,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,7,1.1,48,1.25,0.004,9269,2.05095938065683,0.85,2020-03-26,2021-05-17,42,8
2,0.25,7,1.1,48,1.25,0.004,9270,2.3708219814506943,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,7,1.1,48,1.25,0.004,9284,2.9559346622163902,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,3,1.2,48,1.25,0.004,9494,2.2374102334438137,0.85,2020-03-26,2021-05-17,42,8
1.625,0.4375,3,1.2,48,1.25,0.004,9537,4.362988291958038,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.2,48,1.25,0.004,9705,1.7208133439539326,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,5,1.2,48,1.25,0.004,9719,2.2374102334438137,0.85,2020-03-26,2021-05-17,42,8
2,0.25,5,1.2,48,1.25,0.004,9720,2.5863512524916663,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,5,1.2,48,1.25,0.004,9734,3.2246559951451523,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,7,1.2,48,1.25,0.004,9930,1.7208133439539326,0.85,2020-03-26,2021-05-17,42,8
2,0.25,7,1.2,48,1.25,0.004,9945,2.5863512524916663,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,3,1.3,48,1.25,0.004,10155,1.8642144559500937,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,3,1.3,48,1.25,0.004,10169,2.4238610862307985,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,3,1.3,48,1.25,0.004,10184,3.4933773280739153,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.3,48,1.25,0.004,10380,1.8642144559500937,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,5,1.3,48,1.25,0.004,10394,2.4238610862307985,0.85,2020-03-26,2021-05-17,42,8
2,0.25,5,1.3,48,1.25,0.004,10395,2.8018805235326387,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,7,1.3,48,1.25,0.004,10605,1.8642144559500937,0.85,2020-03-26,2021-05-17,42,8
2,0.25,7,1.3,48,1.25,0.004,10620,2.8018805235326387,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,3,1.4,48,1.25,0.004,10830,2.0076155679462544,0.85,2020-03-26,2021-05-17,42,8
2,0.25,3,1.4,48,1.25,0.004,10845,3.0174097945736107,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,3,1.4,48,1.25,0.004,10858,3.2453139729472658,0.85,2020-03-26,2021-05-17,42,8
1.875,0.3125,3,1.4,48,1.25,0.004,10859,3.762098661002678,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.4,48,1.25,0.004,11055,2.0076155679462544,0.85,2020-03-26,2021-05-17,42,8
2,0.25,5,1.4,48,1.25,0.004,11070,3.0174097945736107,0.85,2020-03-26,2021-05-17,42,8
2,0.25,3,1.5,48,1.25,0.004,11520,3.232939065614583,0.85,2020-03-26,2021-05-17,42,8
2,0.25,5,1.5,48,1.25,0.004,11745,3.232939065614583,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,3,1,48,0.75,0.002857142857142857,12180,1.4340111199616106,0.85,2020-03-26,2021-05-17,42,8
1.375,0.3125,3,1,48,0.75,0.002857142857142857,12205,1.4567174165064716,0.85,2020-03-26,2021-05-17,42,8
1.25,0.375,3,1,48,0.75,0.002857142857142857,12219,1.7061160706545968,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,5,1,48,0.75,0.002857142857142857,12404,1.2405396024934034,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1,48,0.75,0.002857142857142857,12405,1.4340111199616106,0.85,2020-03-26,2021-05-17,42,8
1.75,0.25,5,1,48,0.75,0.002857142857142857,12418,1.608388328806521,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,5,1,48,0.75,0.002857142857142857,12433,2.318081409248047,0.85,2020-03-26,2021-05-17,42,8
1.375,0.375,5,1,48,0.75,0.002857142857142857,12445,2.0093685326971795,0.85,2020-03-26,2021-05-17,42,8
1,0.5,5,1,48,0.75,0.002857142857142857,12472,2.0374099431507258,0.85,2020-03-26,2021-05-17,42,8
0.75,0.5625,5,1,48,0.75,0.002857142857142857,12485,1.7355623301524445,0.85,2020-03-26,2021-05-17,42,8
0.5,0.625,5,1,48,0.75,0.002857142857142857,12498,1.395277039096517,0.85,2020-03-26,2021-05-17,42,8
0.25,0.6875,5,1,48,0.75,0.002857142857142857,12511,1.0589387224276268,0.85,2020-03-26,2021-05-17,42,8
1.5,0.3125,7,1,48,0.75,0.002857142857142857,12656,1.707540617406429,0.85,2020-03-26,2021-05-17,42,8
1.375,0.375,7,1,48,0.75,0.002857142857142857,12670,2.0093685326971795,0.85,2020-03-26,2021-05-17,42,8
