agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
1,1,2280,495693,43367,0.0875
1,2,2280,73010,8599,0.1178
1,3,2280,2011,238,0.1185
2,1,2280,172278,15544,0.0902
2,2,2280,127831,12732,0.0996
2,3,2280,8048,886,0.1101
3,1,2280,63569,5172,0.0814
3,2,2280,121892,12546,0.1029
3,3,2280,12472,1330,0.1066
4,1,2280,22477,1936,0.0862
4,2,2280,145018,13915,0.096
4,3,2280,36460,4032,0.1106
5,1,2280,6501,571,0.0879
5,2,2280,150453,16943,0.1126
5,3,2280,72489,8615,0.1188
6,1,2280,906,84,0.0923
6,2,2280,81554,10190,0.1249
6,3,2280,79587,9863,0.1239
7,1,2280,110,11,0.0987
7,2,2280,42988,5615,0.1306
7,3,2280,76525,9719,0.127
8,1,2280,14,2,0.117
8,2,2280,50810,6521,0.1283
8,3,2280,844526,109501,0.1297
9,1,2280,0,0,NA
9,2,2280,5839,799,0.1368
9,3,2280,734652,96581,0.1315
10,1,2280,0,0,NA
10,2,2280,954,172,0.1808
10,3,2280,436379,58004,0.1329
11,1,2280,0,0,NA
11,2,2280,506,130,0.2565
11,3,2280,305953,40840,0.1335
1,1,2970,514540,31564,0.0613
1,2,2970,88456,5790,0.0655
1,3,2970,3130,215,0.0686
2,1,2970,161999,7151,0.0441
2,2,2970,139527,7587,0.0544
2,3,2970,11112,687,0.0618
3,1,2970,58503,1888,0.0323
3,2,2970,126101,6840,0.0542
3,3,2970,15795,930,0.0589
4,1,2970,20171,670,0.0332
4,2,2970,139253,7214,0.0518
4,3,2970,41684,2524,0.0606
5,1,2970,5856,195,0.0334
5,2,2970,140519,8429,0.06
5,3,2970,75354,4819,0.0639
6,1,2970,816,29,0.035
6,2,2970,74685,4919,0.0659
6,3,2970,76955,5102,0.0663
7,1,2970,100,4,0.0385
7,2,2970,39169,2638,0.0673
7,3,2970,69494,4701,0.0676
8,1,2970,13,1,0.0483
8,2,2970,50589,3279,0.0648
8,3,2970,738288,50540,0.0685
9,1,2970,0,0,NA
9,2,2970,6701,532,0.0793
9,3,2970,602406,41559,0.069
10,1,2970,0,0,NA
10,2,2970,1759,279,0.1588
10,3,2970,334851,23334,0.0697
11,1,2970,0,0,NA
11,2,2970,1622,344,0.2122
11,3,2970,220176,15389,0.0699
1,1,4304,485325,44686,0.0921
1,2,4304,71687,8546,0.1192
1,3,4304,2306,276,0.1197
2,1,4304,187045,20258,0.1083
2,2,4304,128502,12835,0.0999
2,3,4304,9468,1067,0.1127
3,1,4304,74656,7692,0.103
3,2,4304,126708,13618,0.1075
3,3,4304,15011,1670,0.1112
4,1,4304,27682,3016,0.1089
4,2,4304,150421,15384,0.1023
4,3,4304,44194,5039,0.114
5,1,4304,8530,953,0.1117
5,2,4304,157659,19232,0.122
5,3,4304,89890,11386,0.1267
6,1,4304,1237,145,0.117
6,2,4304,84347,11617,0.1377
6,3,4304,99284,13249,0.1334
7,1,4304,155,19,0.1237
7,2,4304,43599,6400,0.1468
7,3,4304,95681,13173,0.1377
8,1,4304,20,3,0.1486
8,2,4304,48715,7032,0.1443
8,3,4304,1049522,147810,0.1408
9,1,4304,0,0,NA
9,2,4304,5292,797,0.1507
9,3,4304,922329,132716,0.1439
10,1,4304,0,0,NA
10,2,4304,799,151,0.1889
10,3,4304,550137,80006,0.1454
11,1,4304,0,0,NA
11,2,4304,402,106,0.2649
11,3,4304,386471,56439,0.146
1,1,4333,515319,26691,0.0518
1,2,4333,102863,4817,0.0468
1,3,4333,6530,338,0.0517
2,1,4333,170834,6586,0.0385
2,2,4333,151030,5864,0.0388
2,3,4333,21309,984,0.0462
3,1,4333,65964,1933,0.0293
3,2,4333,136475,5209,0.0382
3,3,4333,28821,1287,0.0446
4,1,4333,23502,718,0.0306
4,2,4333,139367,5364,0.0385
4,3,4333,69367,3092,0.0446
5,1,4333,7217,221,0.0306
5,2,4333,137812,6250,0.0453
5,3,4333,118955,5788,0.0487
6,1,4333,1039,33,0.0322
6,2,4333,69701,3674,0.0527
6,3,4333,114498,5846,0.0511
7,1,4333,131,5,0.036
7,2,4333,34852,1927,0.0553
7,3,4333,97755,5138,0.0526
8,1,4333,18,1,0.051
8,2,4333,43253,2229,0.0515
8,3,4333,990575,52745,0.0532
9,1,4333,0,0,NA
9,2,4333,5854,429,0.0732
9,3,4333,770381,41549,0.053900000000000003
10,1,4333,0,0,NA
10,2,4333,2294,400,0.1745
10,3,4333,404730,22027,0.0544
11,1,4333,0,0,NA
11,2,4333,3071,620,0.2019
11,3,4333,250625,13649,0.0545
1,1,4994,508292,32223,0.0634
1,2,4994,93172,5975,0.0641
1,3,4994,4361,311,0.0714
2,1,4994,173897,10093,0.058
2,2,4994,146232,7888,0.053900000000000003
2,3,4994,15682,1024,0.0653
3,1,4994,67174,3326,0.0495
3,2,4994,135951,7653,0.0563
3,3,4994,22684,1447,0.0638
4,1,4994,23877,1241,0.052
4,2,4994,144864,8170,0.0564
4,3,4994,59552,3828,0.0643
5,1,4994,7213,379,0.0526
5,2,4994,144711,9561,0.0661
5,3,4994,109388,7752,0.0709
6,1,4994,1018,56,0.0546
6,2,4994,73656,5623,0.0763
6,3,4994,111750,8316,0.0744
7,1,4994,124,7,0.0568
7,2,4994,36665,3013,0.0822
7,3,4994,100820,7728,0.0767
