agegroup_broad,epi_year,parname,par_bin,varname,parvalue,mean_parvalue,median,mean,ci50_l,ci50_u,ci95_l,ci95_u
<1y,2020-21,age_dep,1,hosp_tot_norm,0.0903417328646164,0.0903417328646164,1.485941613931169,1.509115119166885,1.419545498903271,1.5732119062003003,1.3255540920724471,1.8344656113559776
<5y,2020-21,age_dep,1,mean_age_cumul_hosp_shift,0.0903417328646164,0.0903417328646164,2.831993572102662,2.904203819255853,2.5168813884195673,3.221654512037571,1.6385668170428047,4.487445671106358
<1y,2020-21,age_dep,1,peak_hosp_norm,0.0903417328646164,0.0903417328646164,2.1898094534860935,2.1540716154899284,1.8582762977426421,2.4830437005941697,1.1113343055925047,3.038229772330085
<1y,2020-21,age_dep,2,hosp_tot_norm,0.11951275665588038,0.11951275665588038,1.4474592738420093,1.4749030049886716,1.3829057485157916,1.538427110994182,1.3093311947634023,1.8166439089017206
<5y,2020-21,age_dep,2,mean_age_cumul_hosp_shift,0.11951275665588038,0.11951275665588038,2.923536349164131,2.983967138423377,2.5756792557093746,3.2715982139650888,1.7652341093955783,4.7600876424208325
<1y,2020-21,age_dep,2,peak_hosp_norm,0.11951275665588038,0.11951275665588038,2.033644919727652,1.996153625697921,1.7085703747838275,2.3484924342173623,0.9191682055553204,2.89955817523396
<1y,2020-21,age_dep,3,hosp_tot_norm,0.14133551828913188,0.14133551828913188,1.4290552333048017,1.4559333345619079,1.3663048721076163,1.5141562701750806,1.2969234445237696,1.7487363418698187
<5y,2020-21,age_dep,3,mean_age_cumul_hosp_shift,0.14133551828913188,0.14133551828913188,2.9166504985910127,2.9769772834506494,2.5474085809066764,3.356485438043601,1.6562602899608847,4.772038958282089
<1y,2020-21,age_dep,3,peak_hosp_norm,0.14133551828913188,0.14133551828913188,1.8601295661399255,1.8500534534137834,1.4860082888656132,2.25637738518375,0.7139624549657242,2.843060670086609
<1y,2020-21,age_dep,4,hosp_tot_norm,0.16148204369743227,0.16148204369743227,1.4205531961042785,1.4465051637014554,1.3587513515219922,1.4970523259566166,1.2988472629119179,1.7677123473305094
<5y,2020-21,age_dep,4,mean_age_cumul_hosp_shift,0.16148204369743227,0.16148204369743227,2.884096113046664,2.9271742889303396,2.533764020508477,3.2764601118858874,1.1462514442803382,4.608702459839199
<1y,2020-21,age_dep,4,peak_hosp_norm,0.16148204369743227,0.16148204369743227,1.7213949143226202,1.6890336498295657,1.247486437254353,2.099093964445934,0.5984694064523874,2.7462790855915418
<1y,2020-21,age_dep,5,hosp_tot_norm,0.17920264401479896,0.17920264401479896,1.4133164146327424,1.4406801517959469,1.3523456307541404,1.5023025890948045,1.2892566980456774,1.7424770883196818
<5y,2020-21,age_dep,5,mean_age_cumul_hosp_shift,0.17920264401479896,0.17920264401479896,2.8990593072631237,2.9550488266821118,2.5209590289211157,3.3323995094423235,1.0499855411429442,4.891118826851522
<1y,2020-21,age_dep,5,peak_hosp_norm,0.17920264401479896,0.17920264401479896,1.6241257905229662,1.615809437465352,1.1907157967200044,2.0351957036907393,0.5336753437980142,2.7436746158014476
<1y,2020-21,age_dep,6,hosp_tot_norm,0.19589173082264608,0.19589173082264608,1.3909823049719914,1.4224341757288865,1.3434562820383311,1.4579140082496185,1.2841132756556906,1.7487264547243193
<5y,2020-21,age_dep,6,mean_age_cumul_hosp_shift,0.19589173082264608,0.19589173082264608,2.92819618693267,3.017926332199024,2.497465161767615,3.430968560898548,0.6936279066035284,5.447566918012066
<1y,2020-21,age_dep,6,peak_hosp_norm,0.19589173082264608,0.19589173082264608,1.4773371115014335,1.5006758690051603,1.0959622301131393,1.913692008013784,0.5900873192548362,2.6367635489203014
<1y,2020-21,age_dep,7,hosp_tot_norm,0.2149057300255139,0.2149057300255139,1.3853932970478744,1.4310867575576447,1.3375632966810596,1.4723600221466242,1.2719486544198304,1.868426976025872
<5y,2020-21,age_dep,7,mean_age_cumul_hosp_shift,0.2149057300255139,0.2149057300255139,2.7983338657992185,2.839926923941527,2.3402237423186807,3.3225388260574054,0.3472850159281927,5.331318291788388
<1y,2020-21,age_dep,7,peak_hosp_norm,0.2149057300255139,0.2149057300255139,1.3916734424002302,1.4115626695331722,1.0211098635383504,1.7510677328606972,0.5451496885623661,2.4402726447683336
<1y,2020-21,age_dep,8,hosp_tot_norm,0.2351008699354774,0.2351008699354774,1.3959523205285977,1.4443026226557538,1.3337957491816148,1.4828517746146717,1.2663925228517245,1.99315757894261
<5y,2020-21,age_dep,8,mean_age_cumul_hosp_shift,0.2351008699354774,0.2351008699354774,2.7471069157302876,2.7319413737947795,2.1887561683618704,3.323325071927901,-0.04241101588839963,5.331882943908774
<1y,2020-21,age_dep,8,peak_hosp_norm,0.2351008699354774,0.2351008699354774,1.297251395425727,1.31568837333138,0.8918387697947696,1.6790017716014116,0.46715167091992504,2.3588301136638674
<1y,2020-21,age_dep,9,hosp_tot_norm,0.25978270257240416,0.25978270257240416,1.388840253731885,1.4556280742436598,1.3325887114636206,1.4851512927034274,1.2623232477128834,2.116732655013081
<5y,2020-21,age_dep,9,mean_age_cumul_hosp_shift,0.25978270257240416,0.25978270257240416,2.648686538260854,2.5876147009533343,2.028610227711992,3.3438548173409366,0.01154883115466432,4.998393931844529
<1y,2020-21,age_dep,9,peak_hosp_norm,0.25978270257240416,0.25978270257240416,1.2006087861246453,1.2144724028954028,0.8485053391902597,1.5388078126251055,0.411970196450946,2.1708895580768894
<1y,2020-21,age_dep,10,hosp_tot_norm,0.2966976021602808,0.2966976021602808,1.3830049299082159,1.4595813779077114,1.3190778815017725,1.4898389960281635,1.254259396578964,2.1772303424137314
<5y,2020-21,age_dep,10,mean_age_cumul_hosp_shift,0.2966976021602808,0.2966976021602808,2.4687750677468543,2.400774775637788,1.7971282306407819,3.073983797743878,-0.2663466292793419,5.041222078059566
<1y,2020-21,age_dep,10,peak_hosp_norm,0.2966976021602808,0.2966976021602808,1.0810376815405802,1.1029528673902902,0.770457816184056,1.385844906194927,0.4109745819952435,1.9640447851584584
