agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
1,1,30459,384324,7066,0.0184
1,2,30459,110117,1804,0.0164
1,3,30459,20306,340,0.0167
2,1,30459,103710,3312,0.0319
2,2,30459,134806,2964,0.022
2,3,30459,52947,1105,0.0209
3,1,30459,38982,1240,0.0318
3,2,30459,128074,3131,0.0244
3,3,30459,85553,1991,0.0233
4,1,30459,12841,449,0.035
4,2,30459,111968,3017,0.0269
4,3,30459,129032,3327,0.0258
5,1,30459,3759,136,0.0361
5,2,30459,134425,3815,0.0284
5,3,30459,332572,8623,0.0259
6,1,30459,498,19,0.0372
6,2,30459,78280,2275,0.0291
6,3,30459,372855,9320,0.025
7,1,30459,57,2,0.039
7,2,30459,44494,1296,0.0291
7,3,30459,367194,8624,0.0235
8,1,30459,6,0,0.0459
8,2,30459,51504,1511,0.0293
8,3,30459,3737648,86959,0.0233
9,1,30459,0,0,NA
9,2,30459,6334,153,0.0241
9,3,30459,4695456,103219,0.022
10,1,30459,0,0,NA
10,2,30459,553,51,0.0922
10,3,30459,2405270,53254,0.0221
11,1,30459,0,0,NA
11,2,30459,611,245,0.4002
11,3,30459,1398230,30998,0.0222
1,1,30473,397108,4044,0.0102
1,2,30473,111107,1010,0.0091
1,3,30473,22073,213,0.0097
2,1,30473,99582,1990,0.02
2,2,30473,132940,1662,0.0125
2,3,30473,55609,677,0.0122
3,1,30473,36918,751,0.0204
3,2,30473,125079,1781,0.0142
3,3,30473,87817,1244,0.0142
4,1,30473,12126,273,0.0225
4,2,30473,109184,1749,0.016
4,3,30473,130447,2081,0.016
5,1,30473,3558,85,0.0238
5,2,30473,131761,2301,0.0175
5,3,30473,330814,5428,0.0164
6,1,30473,475,12,0.0251
6,2,30473,77153,1404,0.0182
6,3,30473,363717,5781,0.0159
7,1,30473,55,1,0.0267
7,2,30473,43916,801,0.0182
7,3,30473,346065,5279,0.0153
8,1,30473,6,0,0.0273
8,2,30473,51619,957,0.0185
8,3,30473,3485399,54579,0.0157
9,1,30473,0,0,NA
9,2,30473,6505,157,0.0241
9,3,30473,3889172,60383,0.0155
10,1,30473,0,0,NA
10,2,30473,1737,556,0.3202
10,3,30473,1863448,29134,0.0156
11,1,30473,0,0,NA
11,2,30473,6638,2259,0.3403
11,3,30473,1009280,15389,0.0152
1,1,30486,381502,653,0.0017
1,2,30486,113431,152,0.0013
1,3,30486,23968,37,0.0015
2,1,30486,97763,315,0.0032
2,2,30486,132953,248,0.0019
2,3,30486,58369,109,0.0019
3,1,30486,37701,120,0.0032
3,2,30486,124897,257,0.0021
3,3,30486,91635,195,0.0021
4,1,30486,12833,44,0.0035
4,2,30486,109045,261,0.0024
4,3,30486,132712,312,0.0024
5,1,30486,3924,13,0.0034
5,2,30486,132620,343,0.0026
5,3,30486,342593,851,0.0025
6,1,30486,542,2,0.0035
6,2,30486,77831,210,0.0027
6,3,30486,387355,958,0.0025
7,1,30486,65,0,0.0034
7,2,30486,44400,121,0.0027
7,3,30486,383422,875,0.0023
8,1,30486,8,0,0.0013
8,2,30486,51994,139,0.0027
8,3,30486,3858614,8681,0.0022
9,1,30486,0,0,NA
9,2,30486,6597,91,0.0137
9,3,30486,4604012,9969,0.0022
10,1,30486,0,0,NA
10,2,30486,3133,1066,0.3403
10,3,30486,2125456,4940,0.0023
11,1,30486,3,2,0.6282
11,2,30486,15513,4512,0.2909
11,3,30486,1093596,4160,0.0038
1,1,30499,376622,896,0.0024
1,2,30499,113648,233,0.0021
1,3,30499,25322,53,0.0021
2,1,30499,97842,444,0.0045
2,2,30499,131406,382,0.0029
2,3,30499,60172,159,0.0026
3,1,30499,38649,180,0.0047
3,2,30499,123536,396,0.0032
3,3,30499,93636,289,0.0031
4,1,30499,13476,70,0.0052
4,2,30499,108198,409,0.0038
4,3,30499,133704,482,0.0036
5,1,30499,4240,22,0.0052
5,2,30499,132685,545,0.0041
5,3,30499,345915,1346,0.0039
6,1,30499,600,3,0.0055
6,2,30499,78159,335,0.0043
6,3,30499,393515,1553,0.0039
7,1,30499,73,0,0.0057
7,2,30499,44607,189,0.0042
7,3,30499,395362,1452,0.0037
8,1,30499,9,0,0.0034
8,2,30499,52484,216,0.0041
8,3,30499,3978534,14220,0.0036
9,1,30499,0,0,NA
9,2,30499,7522,477,0.0634
9,3,30499,4741673,15654,0.0033
10,1,30499,17,10,0.5714
10,2,30499,13868,4341,0.3131
10,3,30499,2079155,8473,0.0041
11,1,30499,895,336,0.3756
11,2,30499,55159,12119,0.2197
11,3,30499,988641,9770,0.0099
1,1,30511,349922,1153,0.0033
1,2,30511,113304,293,0.0026
1,3,30511,26131,65,0.0025
2,1,30511,98119,577,0.0059
2,2,30511,129992,513,0.0039
2,3,30511,60956,197,0.0032
3,1,30511,40447,240,0.0059
3,2,30511,123054,534,0.0043
3,3,30511,94882,350,0.0037
4,1,30511,14629,94,0.0064
4,2,30511,108313,545,0.005
4,3,30511,134047,604,0.0045
5,1,30511,4794,31,0.0064
5,2,30511,134015,709,0.0053
5,3,30511,350235,1686,0.0048
6,1,30511,700,5,0.0065
6,2,30511,79132,422,0.0053
6,3,30511,401693,1969,0.0049
7,1,30511,88,1,0.0063
7,2,30511,45235,229,0.0051
7,3,30511,419357,1932,0.0046
8,1,30511,11,0,0.0099
8,2,30511,52959,247,0.0047
8,3,30511,4324570,18369,0.0042
9,1,30511,42,24,0.5788
9,2,30511,11420,2163,0.1894
9,3,30511,5806543,20253,0.0035
