agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
1,1,239,433022,323031,0.746
1,2,239,52907,64191,1.2133
1,3,239,1170,1280,1.094
2,1,239,195457,238236,1.2189
2,2,239,103260,114328,1.1072
2,3,239,5290,5777,1.092
3,1,239,82271,105746,1.2853
3,2,239,111343,129050,1.159
3,3,239,9239,10244,1.1088
4,1,239,36557,50907,1.3926
4,2,239,143658,156366,1.0885
4,3,239,30683,35415,1.1542
5,1,239,13301,19551,1.4699
5,2,239,172343,214456,1.2444
5,3,239,73977,92265,1.2472
6,1,239,2564,4036,1.5743
6,2,239,101546,135229,1.3317
6,3,239,91780,118581,1.292
7,1,239,479,810,1.6892
7,2,239,55122,76347,1.3851
7,3,239,96810,127622,1.3183
8,1,239,110,201,1.8262
8,2,239,57958,80958,1.3968
8,3,239,1129804,1517250,1.3429
9,1,239,2,4,2
9,2,239,6115,8488,1.3881
9,3,239,1076068,1464042,1.3605
10,1,239,0,0,NA
10,2,239,1149,1500,1.3055
10,3,239,684846,937882,1.3695
11,1,239,0,0,NA
11,2,239,710,898,1.2659
11,3,239,512135,703001,1.3727
1,1,464,445669,434657,0.9753
1,2,464,72557,103540,1.427
1,3,464,2597,3764,1.449
2,1,464,186165,295401,1.5868
2,2,464,122802,158930,1.2942
2,3,464,10572,14984,1.4173
3,1,464,76203,125480,1.6467
3,2,464,128368,176026,1.3713
3,3,464,17801,25362,1.4247
4,1,464,32945,56229,1.7068
4,2,464,144041,198129,1.3755
4,3,464,53584,76647,1.4304
5,1,464,11339,19840,1.7497
5,2,464,165549,247374,1.4943
5,3,464,128084,194930,1.5219
6,1,464,2074,3735,1.8013
6,2,464,91567,142715,1.5586
6,3,464,155120,241469,1.5567
7,1,464,368,683,1.8558
7,2,464,46171,74133,1.6056
7,3,464,161365,254517,1.5773
8,1,464,81,155,1.9227
8,2,464,38660,63297,1.6373
8,3,464,1777776,2828132,1.5908
9,1,464,1,3,2
9,2,464,3152,5246,1.6646
9,3,464,1794770,2901152,1.6164
10,1,464,0,0,NA
10,2,464,330,533,1.6126
10,3,464,1150676,1868821,1.6241
11,1,464,0,0,NA
11,2,464,168,266,1.5879
11,3,464,863340,1404650,1.627
1,1,929,490811,242767,0.4946
1,2,929,84368,58055,0.6881
1,3,929,3385,2562,0.7567
2,1,929,168632,139130,0.8251
2,2,929,138986,85729,0.6168
2,3,929,13059,9548,0.7312
3,1,929,61686,52299,0.8478
3,2,929,131862,91443,0.6935
3,3,929,20018,14702,0.7344
4,1,929,21885,19672,0.8989
4,2,929,145035,101716,0.7013
4,3,929,56453,41822,0.7408
5,1,929,6258,5747,0.9184
5,2,929,147286,117673,0.7989
5,3,929,112949,92850,0.8221
6,1,929,875,834,0.9524
6,2,929,76004,66500,0.875
6,3,929,123358,105821,0.8578
7,1,929,109,108,0.9959
7,2,929,37504,35049,0.9345
7,3,929,118214,103999,0.8797
8,1,929,15,17,1.13
8,2,929,36321,34464,0.9489
8,3,929,1264786,1134530,0.897
9,1,929,0,0,2
9,2,929,3768,3505,0.9301
9,3,929,1129758,1036183,0.9172
10,1,929,0,0,NA
10,2,929,982,775,0.7893
10,3,929,677223,627004,0.9258
11,1,929,0,0,NA
11,2,929,908,679,0.7473
11,3,929,476898,443214,0.9294
1,1,2265,469543,355310,0.7567
1,2,2265,72669,82630,1.1371
1,3,2265,2131,2457,1.153
2,1,2265,178256,226821,1.2724
2,2,2265,127266,129409,1.0168
2,3,2265,8989,10144,1.1285
3,1,2265,67949,89649,1.3194
3,2,2265,129806,142496,1.0978
3,3,2265,15062,17078,1.1338
4,1,2265,25659,35452,1.3817
4,2,2265,147650,160592,1.0877
4,3,2265,46590,53757,1.1538
5,1,2265,7651,10822,1.4144
