agegroup,epi_year,epi_year_wk_start,parname,par_bin,varname,parvalue,mean_parvalue,median,mean,ci50_l,ci50_u,ci95_l,ci95_u
1,2020,23,age_dep,1,cumul_hosp,0.09271723219298486,0.09271723219298486,1.611087428011417e-4,1.7108934772016554e-4,1.3163838577504174e-4,1.9946886452987497e-4,9.776640161079881e-5,2.870449129537947e-4
1,2020,23,age_dep,1,peak_hosp,0.09271723219298486,0.09271723219298486,3.307849836968015e-4,4.144885105999017e-4,2.583322382581734e-4,5.270204971319167e-4,1.7367032683540638e-4,9.917150989890218e-4
1,2020,23,age_dep,1,peak_yday,0.09271723219298486,0.09271723219298486,-186,-184.34,-200,-179,-207,-165
1,2020,23,age_dep,2,cumul_hosp,0.12118278064754849,0.12118278064754849,1.7342253375101263e-4,1.8381942336847932e-4,1.4349479908728493e-4,2.173572556570395e-4,1.0748538585409648e-4,3.0303938045015365e-4
1,2020,23,age_dep,2,peak_hosp,0.12118278064754849,0.12118278064754849,3.814326332564734e-4,4.742650921613175e-4,2.781441142377768e-4,6.10478252156013e-4,1.7668691820047578e-4,0.0010953238080290135
1,2020,23,age_dep,2,peak_yday,0.12118278064754849,0.12118278064754849,-186,-183.365,-193,-179,-207.17499999999998,-158
1,2020,23,age_dep,3,cumul_hosp,0.14134282762604125,0.14134282762604125,1.8812029451503308e-4,1.9599409194644932e-4,1.5363978065854858e-4,2.3383989946491852e-4,1.0628898964779497e-4,3.50312743426389e-4
1,2020,23,age_dep,3,peak_hosp,0.14134282762604125,0.14134282762604125,4.0386101967902885e-4,5.002863707627484e-4,2.988048209022978e-4,6.234860294280602e-4,1.7027852992361852e-4,0.0013058616165443405
1,2020,23,age_dep,3,peak_yday,0.14134282762604125,0.14134282762604125,-186,-186.525,-200,-177.25,-214,-158
1,2020,23,age_dep,4,cumul_hosp,0.1618763042301803,0.1618763042301803,2.1790891954409804e-4,2.3034884154391163e-4,1.6576992178751274e-4,2.707878880125747e-4,1.1766061897954313e-4,4.6138086376121116e-4
1,2020,23,age_dep,4,peak_hosp,0.1618763042301803,0.1618763042301803,4.3892327599105783e-4,5.736224602180155e-4,3.0478826464781534e-4,7.03889421959928e-4,1.9210286481407255e-4,0.0015868270674460649
1,2020,23,age_dep,4,peak_yday,0.1618763042301803,0.1618763042301803,-179,-182.395,-193,-172,-207,-151
1,2020,23,age_dep,5,cumul_hosp,0.18013046519203055,0.18013046519203055,2.1144663384237746e-4,2.3229382124985616e-4,1.7666528007064783e-4,2.673768972388902e-4,1.235970628494516e-4,4.42462880491832e-4
1,2020,23,age_dep,5,peak_hosp,0.18013046519203055,0.18013046519203055,4.4652220565243137e-4,5.757211954283973e-4,3.2499431253746796e-4,6.973375165863744e-4,2.0553908391921142e-4,0.0015759153651021302
1,2020,23,age_dep,5,peak_yday,0.18013046519203055,0.18013046519203055,-179,-179.275,-193,-172,-207,-151
1,2020,23,age_dep,6,cumul_hosp,0.1976434322760091,0.1976434322760091,2.337772013300137e-4,2.5565592827232834e-4,1.8963026775877065e-4,3.0036360388970137e-4,1.4055801060483902e-4,5.204331199547761e-4
